BZHISTID;BZNR;BZNAME;KTNR;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
10002;2106;Distretto di Mendrisio;21;7;10075;714496;728083;75268;88162;721000;81800;221;1614;608;561;2714496;2728083;1075268;1088162;2721000;1081800
10003;2105;Distretto di Lugano;21;7;30794;704392;727695;85236;111689;716000;101000;232;2227;790;701;2704392;2727695;1085236;1111689;2716000;1101000
10004;2104;Distretto di Locarno;21;7;55057;679075;716040;103633;140245;697500;112600;193;2862;1252;1255;2679075;2716040;1103633;1140245;2697500;1112600
10005;2103;Distretto di Leventina;21;7;47955;672484;717542;129186;160092;695000;153800;285;3153;1816;1912;2672484;2717542;1129186;1160092;2695000;1153800
10006;2102;Distretto di Blenio;21;7;36058;701992;727972;137168;165700;716300;150900;349;3400;1825;1894;2701992;2727972;1137168;1165700;2716300;1150900
10007;2101;Distretto di Bellinzona;21;7;22633;714029;732913;108218;128601;722300;117400;199;2725;993;989;2714029;2732913;1108218;1128601;2722300;1117400
10013;2308;District de Monthey;23;1;25678;548579;564572;108834;138332;560500;122000;371;3253;1292;1399;2548579;2564572;1108834;1138332;2560500;1122000
10016;1911;Bezirk Zurzach;19;3;13001;653961;674275;262096;274772;663900;268200;300;612;429;423;2653961;2674275;1262096;1274772;2663900;1268200
10017;1910;Bezirk Zofingen;19;3;14201;629249;649383;231361;244523;634200;236500;389;713;497;483;2629249;2649383;1231361;1244523;2634200;1236500
10018;1909;Bezirk Rheinfelden;19;3;11186;620698;641083;259078;271001;630800;267600;255;750;401;377;2620698;2641083;1259078;1271001;2630800;1267600
10019;1908;Bezirk Muri;19;3;13895;661726;674061;221173;244270;669000;233300;376;855;502;469;2661726;2674061;1221173;1244270;2669000;1233300
10020;1907;Bezirk Lenzburg;19;3;9810;650211;662055;236022;254892;656200;246500;345;713;462;448;2650211;2662055;1236022;1254892;2656200;1246500
10021;1906;Bezirk Laufenburg;19;3;15674;637807;655906;253219;271946;646100;262700;289;870;466;462;2637807;2655906;1253219;1271946;2646100;1262700
10022;1905;Bezirk Kulm;19;3;9727;644120;659133;230370;243289;652700;237400;432;872;579;573;2644120;2659133;1230370;1243289;2652700;1237400
10023;1904;Bezirk Brugg;19;3;14511;647205;661767;251308;268547;654700;258800;325;800;467;453;2647205;2661767;1251308;1268547;2654700;1258800
10024;1903;Bezirk Bremgarten;19;3;11747;658423;676827;237887;251434;667600;245000;346;741;486;474;2658423;2676827;1237887;1251434;2667600;1245000
10025;1902;Bezirk Baden;19;3;15309;658690;675607;247075;266682;665400;256100;325;859;464;438;2658690;2675607;1247075;1266682;2665400;1256100
10026;1901;Bezirk Aarau;19;3;10449;639584;653234;240057;257519;647100;248700;356;908;488;458;2639584;2653234;1240057;1257519;2647100;1248700
10029;2307;District de Martigny;23;1;26337;562048;588942;92198;120691;574800;107300;450;3540;1444;1427;2562048;2588942;1092198;1120691;2574800;1107300
10030;2306;Bezirk Leuk;23;1;33527;606919;624987;106619;143767;617400;127600;533;4190;2018;2192;2606919;2624987;1106619;1143767;2617400;1127600
10031;2305;District d'Hérens;23;1;46607;592702;613417;89268;137198;602100;104300;506;4356;2321;2419;2592702;2613417;1089268;1137198;2602100;1104300
10032;2304;Bezirk Goms;23;1;58920;637908;679787;128628;167428;659600;147600;867;4273;2444;2466;2637908;2679787;1128628;1167428;2659600;1147600
10033;2303;District d'Entremont;23;1;63297;566655;603834;78560;108038;583400;92700;628;4312;2301;2358;2566655;2603834;1078560;1108038;2583400;1092700
10034;2302;District de Conthey;23;1;23420;576220;594584;101000;129470;585400;121700;469;3334;1707;1765;2576220;2594584;1101000;1129470;2585400;1121700
