GMDNR;GMDNAME;BZNR;KTNR;GRNR;AREA_HA;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;Z_CNTR;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR
7101;Büsingen am Hochrhein;0;71;0;762;2691588;2696038;1282305;1285716;2693800;1284200;391;487;419;415;418;691588;696038;282305;285716;693800;284200
7301;Campione d'Italia;0;73;0;93;2718572;2719421;1091164;1093556;2718600;1092300;270;596;378;370;270;718572;719421;91164;93556;718600;92300
